triplet_id,TGT_item,OTH_item,X_item,speaker_TGT,speaker_OTH,speaker_X,language_TGT,language_OTH,language_X,TGT_first,dataset
GR_TRIP18079_1,GR430.wav,GR467.wav,GR694.wav,GR-participant3,GR-participant3,GR-participant5,GR,GR,GR,True,WorldVowels
EN_TRIP40484_0,EN1602.wav,EN1695.wav,EN367.wav,EN-participant1,EN-participant1,EN-participant6,EN,EN,EN,False,WorldVowels
triplet_FR2611,1s_french/7033_sliced_2144.wav,1s_french/17865_sliced_2548.wav,1s_french/5154_sliced_2143.wav,F06_N,F06_N,F01_O,FR,FR,FR,True,zerospeech
ES_TRIP37500_0,ES248.wav,ES280.wav,ES332.wav,ES-participant1,ES-participant1,ES-participant5,ES,ES,ES,False,WorldVowels
EN_TRIP6390_0,EN1922.wav,EN2178.wav,EN1637.wav,EN-participant7,EN-participant7,EN-participant1,EN,EN,EN,False,WorldVowels
triplet_00000011709,TRAIN/DR5/FEXM0/SA1_sliced_159.wav,TRAIN/DR5/FEXM0/SX111_sliced_327.wav,TEST/DR5/MLIH0/SA1_sliced_495.wav,FEXM0,FEXM0,MLIH0,EN_DR5,EN_DR5,EN_DR5,True,pilot-july-2018
TU_TRIP6364_0,TU9.wav,TU16.wav,TU172.wav,TU-participant2,TU-participant2,TU-participant3,TU,TU,TU,False,WorldVowels
FR_TRIP17751_0,FR2100.wav,FR2097.wav,FR327.wav,FR-participant3,FR-participant3,FR-participant6,FR,FR,FR,False,WorldVowels
triplet_00000086662,TRAIN/DR3/FGCS0/SA2_sliced_31.wav,TRAIN/DR3/FGCS0/SX136_sliced_199.wav,TRAIN/DR8/FNKL0/SA2_sliced_367.wav,FGCS0,FGCS0,FNKL0,EN_DR3,EN_DR3,EN_DR8,True,pilot-july-2018
triplet_6_B,ewan_6.wav,ewan_21.wav,amelia_vowels_6.wav,ewan,ewan,amelia,EN,EN,EN,False,pilot-aug-2018
triplet_EN738,1s_english/15519_sliced_2242.wav,1s_english/21146_sliced_2243.wav,1s_english/2957_sliced_2244.wav,5189,5189,6509,EN,EN,EN,False,zerospeech
ES_TRIP30249_0,ES161.wav,ES172.wav,ES293.wav,ES-participant3,ES-participant3,ES-participant5,ES,ES,ES,False,WorldVowels
triplet_FR2071,1s_french/11758_sliced_445.wav,1s_french/10370_sliced_1790.wav,1s_french/355_sliced_1791.wav,M01_O,M01_O,F06_O,FR,FR,FR,True,zerospeech
GL_TRIP1720_0,GLO117.wav,GLO65.wav,GLO19.wav,S02M,S02M,S03M,GL,GL,GL,False,WorldVowels
BR_TRIP38030_1,BR297.wav,BR361.wav,BR141.wav,BR-participant4,BR-participant4,BR-participant2,BR,BR,BR,True,WorldVowels
triplet_EN1774,1s_english/11648_sliced_3459.wav,1s_english/26125_sliced_3460.wav,1s_english/17185_sliced_3461.wav,511,511,8193,EN,EN,EN,False,zerospeech
triplet_FR1566,1s_french/18501_sliced_1411.wav,1s_french/17034_sliced_320.wav,1s_french/7866_sliced_1412.wav,F06_N,F06_N,F01_O,FR,FR,FR,False,zerospeech
triplet_FR1612,1s_french/18451_sliced_1005.wav,1s_french/19274_sliced_2169.wav,1s_french/17438_sliced_329.wav,M01_O,M01_O,F06_N,FR,FR,FR,False,zerospeech
triplet_FR304,1s_french/6398_sliced_481.wav,1s_french/13829_sliced_258.wav,1s_french/19653_sliced_500.wav,F02_N,F02_N,M01_O,FR,FR,FR,False,zerospeech
triplet_FR140,1s_french/5520_sliced_280.wav,1s_french/5472_sliced_244.wav,1s_french/18558_sliced_281.wav,F06_O,F06_O,F06_N,FR,FR,FR,False,zerospeech
triplet_FR1768,1s_french/19567_sliced_165.wav,1s_french/5039_sliced_1519.wav,1s_french/18749_sliced_166.wav,M04_O,M04_O,M10_N,FR,FR,FR,False,zerospeech
triplet_EN2023,1s_english/20101_sliced_926.wav,1s_english/21921_sliced_925.wav,1s_english/1195_sliced_3175.wav,5802,5802,8824,EN,EN,EN,True,zerospeech
FR_TRIP83994_0,FR3473.wav,FR3642.wav,FR3098.wav,FR-participant5,FR-participant5,FR-participant7,FR,FR,FR,False,WorldVowels
GL_TRIP6_1,GLO2.wav,GLO39.wav,GLO103.wav,S03M,S03M,S01F,GL,GL,GL,True,WorldVowels
triplet_EN1332,1s_english/7767_sliced_3592.wav,1s_english/21652_sliced_3407.wav,1s_english/10307_sliced_2853.wav,3851,3851,5189,EN,EN,EN,False,zerospeech
triplet_FR150,1s_french/866_sliced_236.wav,1s_french/1115_sliced_2327.wav,1s_french/15138_sliced_234.wav,F06_O,F06_O,M04_O,FR,FR,FR,False,zerospeech
TU_TRIP11276_0,TU252.wav,TU236.wav,TU105.wav,TU-participant1,TU-participant1,TU-participant4,TU,TU,TU,False,WorldVowels
BR_TRIP44975_1,BR393.wav,BR349.wav,BR529.wav,BR-participant4,BR-participant4,BR-participant3,BR,BR,BR,True,WorldVowels
triplet_FR2834,1s_french/3651_sliced_1611.wav,1s_french/17337_sliced_9054.wav,1s_french/16334_sliced_1612.wav,F01_O,F01_O,F06_N,FR,FR,FR,False,zerospeech
FR_TRIP50072_1,FR453.wav,FR80.wav,FR4271.wav,FR-participant6,FR-participant6,FR-participant8,FR,FR,FR,True,WorldVowels
triplet_FR1128,1s_french/13216_sliced_315.wav,1s_french/10918_sliced_1136.wav,1s_french/19122_sliced_1542.wav,F06_N,F06_N,F02_O,FR,FR,FR,False,zerospeech
EN_TRIP34755_1,EN1339.wav,EN1176.wav,EN2372.wav,EN-participant3,EN-participant3,EN-participant5,EN,EN,EN,True,WorldVowels
GR_TRIP61242_0,GR262.wav,GR268.wav,GR542.wav,GR-participant4,GR-participant4,GR-participant1,GR,GR,GR,False,WorldVowels
triplet_EN113,1s_english/16410_sliced_2109.wav,1s_english/10730_sliced_2110.wav,1s_english/15953_sliced_2111.wav,5189,5189,8193,EN,EN,EN,True,zerospeech
EN_TRIP16564_1,EN2669.wav,EN2718.wav,EN1509.wav,EN-participant8,EN-participant8,EN-participant3,EN,EN,EN,True,WorldVowels
GR_TRIP25780_1,GR433.wav,GR486.wav,GR330.wav,GR-participant3,GR-participant3,GR-participant4,GR,GR,GR,True,WorldVowels
triplet_EN1581,1s_english/12755_sliced_4063.wav,1s_english/5422_sliced_5821.wav,1s_english/25474_sliced_4065.wav,6895,6895,2294,EN,EN,EN,True,zerospeech
BR_TRIP40253_0,BR410.wav,BR430.wav,BR147.wav,BR-participant4,BR-participant4,BR-participant2,BR,BR,BR,False,WorldVowels
triplet_119_B,ewan_58.wav,ewan_52.wav,amelia_consonants_10.wav,ewan,ewan,amelia,EN,EN,EN,False,pilot-aug-2018
triplet_EN1096,1s_english/24281_sliced_1894.wav,1s_english/20007_sliced_1702.wav,1s_english/6476_sliced_293.wav,3851,3851,6509,EN,EN,EN,False,zerospeech
ES_TRIP18456_1,ES343.wav,ES344.wav,ES247.wav,ES-participant5,ES-participant5,ES-participant1,ES,ES,ES,True,WorldVowels
triplet_FR2914,1s_french/13704_sliced_2565.wav,1s_french/16739_sliced_397.wav,1s_french/18976_sliced_1481.wav,M08_N,M08_N,M07_N,FR,FR,FR,False,zerospeech
triplet_FR2895,1s_french/10064_sliced_321.wav,1s_french/2891_sliced_10000.wav,1s_french/8367_sliced_10003.wav,F02_N,F02_N,F06_N,FR,FR,FR,True,zerospeech
triplet_FR1718,1s_french/8270_sliced_1483.wav,1s_french/15573_sliced_1097.wav,1s_french/8052_sliced_128.wav,F01_N,F01_N,M10_N,FR,FR,FR,False,zerospeech
triplet_FR1822,1s_french/16113_sliced_573.wav,1s_french/8093_sliced_1565.wav,1s_french/10107_sliced_152.wav,M04_O,M04_O,F01_O,FR,FR,FR,False,zerospeech
BR_TRIP11658_1,BR536.wav,BR571.wav,BR352.wav,BR-participant3,BR-participant3,BR-participant4,BR,BR,BR,True,WorldVowels
triplet_FR333,1s_french/7601_sliced_1209.wav,1s_french/7866_sliced_509.wav,1s_french/1641_sliced_1210.wav,F01_O,F01_O,M04_O,FR,FR,FR,True,zerospeech
TU_TRIP10257_1,TU261.wav,TU250.wav,TU158.wav,TU-participant1,TU-participant1,TU-participant3,TU,TU,TU,True,WorldVowels
triplet_EN1594,1s_english/1995_sliced_2046.wav,1s_english/1399_sliced_2972.wav,1s_english/12420_sliced_2047.wav,3347,3347,6509,EN,EN,EN,False,zerospeech
GR_TRIP1571_1,GR185.wav,GR190.wav,GR383.wav,GR-participant2,GR-participant2,GR-participant4,GR,GR,GR,True,WorldVowels
triplet_EN962,1s_english/2950_sliced_2139.wav,1s_english/18490_sliced_2273.wav,1s_english/3063_sliced_2140.wav,5189,5189,4926,EN,EN,EN,False,zerospeech
triplet_EN1831,1s_english/14319_sliced_869.wav,1s_english/20584_sliced_2205.wav,1s_english/23059_sliced_2698.wav,8193,8193,1571,EN,EN,EN,True,zerospeech
triplet_EN250,1s_english/22226_sliced_1087.wav,1s_english/3337_sliced_1090.wav,1s_english/10834_sliced_1098.wav,5189,5189,188,EN,EN,EN,False,zerospeech
triplet_FR1009,1s_french/16347_sliced_1537.wav,1s_french/13888_sliced_2695.wav,1s_french/4172_sliced_1538.wav,F02_O,F02_O,M10_O,FR,FR,FR,True,zerospeech
BR_TRIP47059_1,BR416.wav,BR280.wav,BR559.wav,BR-participant4,BR-participant4,BR-participant3,BR,BR,BR,True,WorldVowels
triplet_FR2751,1s_french/4899_sliced_1945.wav,1s_french/6623_sliced_1893.wav,1s_french/8569_sliced_1946.wav,F10_O,F10_O,M10_N,FR,FR,FR,True,zerospeech
triplet_EN408,1s_english/25432_sliced_2042.wav,1s_english/21041_sliced_2067.wav,1s_english/16150_sliced_2044.wav,8193,8193,6509,EN,EN,EN,False,zerospeech
triplet_EN2008,1s_english/20101_sliced_926.wav,1s_english/8021_sliced_1598.wav,1s_english/1195_sliced_3175.wav,5802,5802,8824,EN,EN,EN,False,zerospeech
ES_TRIP5341_1,ES13.wav,ES62.wav,ES166.wav,ES-participant2,ES-participant2,ES-participant3,ES,ES,ES,True,WorldVowels
triplet_FR1386,1s_french/6826_sliced_1284.wav,1s_french/2390_sliced_1283.wav,1s_french/4155_sliced_822.wav,M07_O,M07_O,M10_N,FR,FR,FR,False,zerospeech
triplet_FR2413,1s_french/4539_sliced_300.wav,1s_french/3406_sliced_264.wav,1s_french/8286_sliced_301.wav,M08_N,M08_N,F06_O,FR,FR,FR,True,zerospeech
triplet_EN895,1s_english/25005_sliced_3349.wav,1s_english/21275_sliced_110.wav,1s_english/23236_sliced_3785.wav,4926,4926,188,EN,EN,EN,True,zerospeech
BR_TRIP36362_1,BR387.wav,BR422.wav,BR1058.wav,BR-participant4,BR-participant4,BR-participant5,BR,BR,BR,True,WorldVowels
BR_TRIP66418_1,BR751.wav,BR811.wav,BR489.wav,BR-participant1,BR-participant1,BR-participant3,BR,BR,BR,True,WorldVowels
GR_TRIP12691_0,GR172.wav,GR138.wav,GR85.wav,GR-participant2,GR-participant2,GR-participant6,GR,GR,GR,False,WorldVowels
TU_TRIP10757_1,TU240.wav,TU211.wav,TU185.wav,TU-participant1,TU-participant1,TU-participant3,TU,TU,TU,True,WorldVowels
triplet_FR1916,1s_french/4411_sliced_2705.wav,1s_french/8452_sliced_2610.wav,1s_french/3899_sliced_2706.wav,F06_N,F06_N,M01_O,FR,FR,FR,False,zerospeech
triplet_EN273,1s_english/19895_sliced_173.wav,1s_english/8254_sliced_1100.wav,1s_english/1609_sliced_172.wav,5802,5802,2294,EN,EN,EN,True,zerospeech
GR_TRIP75649_1,GR769.wav,GR738.wav,GR472.wav,GR-participant5,GR-participant5,GR-participant3,GR,GR,GR,True,WorldVowels
triplet_FR605,1s_french/10636_sliced_571.wav,1s_french/18004_sliced_767.wav,1s_french/9733_sliced_149.wav,M07_N,M07_N,M01_O,FR,FR,FR,True,zerospeech
triplet_EN779,1s_english/3337_sliced_1090.wav,1s_english/22226_sliced_1087.wav,1s_english/3926_sliced_1091.wav,5189,5189,4926,EN,EN,EN,True,zerospeech
triplet_EN1687,1s_english/16707_sliced_4209.wav,1s_english/8235_sliced_5331.wav,1s_english/70_sliced_2003.wav,5189,5189,6509,EN,EN,EN,True,zerospeech
triplet_FR2881,1s_french/1289_sliced_2105.wav,1s_french/9310_sliced_10001.wav,1s_french/19342_sliced_2107.wav,M07_N,M07_N,F02_N,FR,FR,FR,True,zerospeech
GR_TRIP51815_0,GR111.wav,GR14.wav,GR238.wav,GR-participant6,GR-participant6,GR-participant2,GR,GR,GR,False,WorldVowels
triplet_EN66,1s_english/25472_sliced_1938.wav,1s_english/26086_sliced_125.wav,1s_english/3367_sliced_119.wav,5189,5189,6509,EN,EN,EN,False,zerospeech
triplet_EN425,1s_english/7990_sliced_521.wav,1s_english/10114_sliced_540.wav,1s_english/25382_sliced_522.wav,1571,1571,6509,EN,EN,EN,True,zerospeech
triplet_EN550,1s_english/14848_sliced_2678.wav,1s_english/4568_sliced_2675.wav,1s_english/7216_sliced_2679.wav,2294,2294,8193,EN,EN,EN,False,zerospeech
triplet_FR2936,1s_french/3651_sliced_1611.wav,1s_french/5636_sliced_17.wav,1s_french/16334_sliced_1612.wav,F01_O,F01_O,F06_N,FR,FR,FR,False,zerospeech
triplet_EN2124,1s_english/9002_sliced_266.wav,1s_english/24378_sliced_215.wav,1s_english/23797_sliced_2406.wav,5189,5189,1571,EN,EN,EN,False,zerospeech
ES_TRIP28967_1,ES192.wav,ES190.wav,ES27.wav,ES-participant3,ES-participant3,ES-participant2,ES,ES,ES,True,WorldVowels
triplet_FR2239,1s_french/4824_sliced_2517.wav,1s_french/18338_sliced_2516.wav,1s_french/20320_sliced_1739.wav,F02_O,F02_O,M04_O,FR,FR,FR,True,zerospeech
triplet_FR242,1s_french/19759_sliced_396.wav,1s_french/16739_sliced_397.wav,1s_french/20027_sliced_233.wav,M08_N,M08_N,F02_N,FR,FR,FR,False,zerospeech
triplet_FR2205,1s_french/6317_sliced_1207.wav,1s_french/5525_sliced_1251.wav,1s_french/13291_sliced_746.wav,M04_O,M04_O,M10_N,FR,FR,FR,True,zerospeech
triplet_EN694,1s_english/1226_sliced_1887.wav,1s_english/2885_sliced_1851.wav,1s_english/8833_sliced_1886.wav,8193,8193,2294,EN,EN,EN,False,zerospeech
triplet_FR166,1s_french/4539_sliced_300.wav,1s_french/5954_sliced_238.wav,1s_french/8286_sliced_301.wav,M08_N,M08_N,F06_O,FR,FR,FR,False,zerospeech
triplet_EN53,1s_english/9235_sliced_1921.wav,1s_english/14726_sliced_1846.wav,1s_english/18574_sliced_2644.wav,8193,8193,2741,EN,EN,EN,True,zerospeech
triplet_FR1387,1s_french/8521_sliced_1286.wav,1s_french/5384_sliced_1287.wav,1s_french/12314_sliced_737.wav,M02_O,M02_O,M01_O,FR,FR,FR,True,zerospeech
GL_TRIP104_1,GLO78.wav,GLO39.wav,GLO25.wav,S03M,S03M,S04F,GL,GL,GL,True,WorldVowels
triplet_EN1719,1s_english/25694_sliced_3319.wav,1s_english/4049_sliced_2416.wav,1s_english/25626_sliced_2843.wav,3347,3347,5802,EN,EN,EN,True,zerospeech
triplet_EN1477,1s_english/2072_sliced_1933.wav,1s_english/14558_sliced_4999.wav,1s_english/10114_sliced_540.wav,3851,3851,1571,EN,EN,EN,True,zerospeech
triplet_EN811,1s_english/1108_sliced_2721.wav,1s_english/13748_sliced_2462.wav,1s_english/24143_sliced_3049.wav,6509,6509,1571,EN,EN,EN,True,zerospeech
triplet_FR2858,1s_french/7203_sliced_1965.wav,1s_french/2891_sliced_10000.wav,1s_french/14072_sliced_1966.wav,F02_N,F02_N,M01_O,FR,FR,FR,False,zerospeech
ES_TRIP6615_0,ES64.wav,ES17.wav,ES88.wav,ES-participant2,ES-participant2,ES-participant4,ES,ES,ES,False,WorldVowels
triplet_EN1070,1s_english/13530_sliced_3508.wav,1s_english/23675_sliced_3507.wav,1s_english/24369_sliced_2166.wav,8824,8824,5189,EN,EN,EN,False,zerospeech
GR_TRIP70267_1,GR709.wav,GR694.wav,GR424.wav,GR-participant5,GR-participant5,GR-participant3,GR,GR,GR,True,WorldVowels
triplet_00000015535,TRAIN/DR5/FSJG0/SA1_sliced_23.wav,TRAIN/DR5/FSJG0/SI940_sliced_191.wav,TRAIN/DR1/FSJK1/SA1_sliced_359.wav,FSJG0,FSJG0,FSJK1,EN_DR5,EN_DR5,EN_DR1,False,pilot-july-2018
triplet_FR352,1s_french/10851_sliced_572.wav,1s_french/10107_sliced_152.wav,1s_french/6219_sliced_525.wav,F01_O,F01_O,M10_N,FR,FR,FR,False,zerospeech
triplet_FR1361,1s_french/1792_sliced_289.wav,1s_french/19531_sliced_276.wav,1s_french/19274_sliced_2169.wav,M08_N,M08_N,M01_O,FR,FR,FR,True,zerospeech
triplet_EN2,1s_english/2566_sliced_1845.wav,1s_english/14726_sliced_1846.wav,1s_english/16391_sliced_1847.wav,8193,8193,4926,EN,EN,EN,False,zerospeech
triplet_FR1245,1s_french/5958_sliced_2576.wav,1s_french/5154_sliced_2143.wav,1s_french/15491_sliced_334.wav,F01_O,F01_O,F06_N,FR,FR,FR,True,zerospeech
TU_TRIP7208_0,TU53.wav,TU34.wav,TU129.wav,TU-participant2,TU-participant2,TU-participant4,TU,TU,TU,False,WorldVowels
triplet_FR1324,1s_french/19063_sliced_1268.wav,1s_french/18293_sliced_616.wav,1s_french/9083_sliced_910.wav,M04_O,M04_O,F01_O,FR,FR,FR,False,zerospeech
triplet_EN1795,1s_english/12495_sliced_155.wav,1s_english/17328_sliced_144.wav,1s_english/14975_sliced_571.wav,6509,6509,5802,EN,EN,EN,True,zerospeech
triplet_EN1044,1s_english/2911_sliced_1018.wav,1s_english/8957_sliced_1635.wav,1s_english/21129_sliced_1017.wav,1571,1571,5802,EN,EN,EN,False,zerospeech
triplet_EN579,1s_english/6545_sliced_3920.wav,1s_english/20697_sliced_5462.wav,1s_english/4961_sliced_3133.wav,2741,2741,188,EN,EN,EN,True,zerospeech
GR_TRIP226_0,GR133.wav,GR204.wav,GR40.wav,GR-participant2,GR-participant2,GR-participant6,GR,GR,GR,False,WorldVowels
triplet_FR469,1s_french/5636_sliced_669.wav,1s_french/885_sliced_661.wav,1s_french/683_sliced_670.wav,F01_O,F01_O,F06_N,FR,FR,FR,True,zerospeech
triplet_EN200,1s_english/12836_sliced_975.wav,1s_english/6955_sliced_987.wav,1s_english/9896_sliced_977.wav,8824,8824,4926,EN,EN,EN,False,zerospeech
triplet_EN1233,1s_english/8048_sliced_4303.wav,1s_english/23081_sliced_4304.wav,1s_english/21488_sliced_4305.wav,1571,1571,6509,EN,EN,EN,True,zerospeech
triplet_EN2208,1s_english/20407_sliced_3410.wav,1s_english/17794_sliced_3454.wav,1s_english/5388_sliced_3412.wav,5189,5189,6509,EN,EN,EN,False,zerospeech
triplet_EN377,1s_english/6617_sliced_2376.wav,1s_english/20136_sliced_2758.wav,1s_english/15997_sliced_2378.wav,8193,8193,6509,EN,EN,EN,True,zerospeech
triplet_EN1312,1s_english/8989_sliced_2998.wav,1s_english/9298_sliced_2997.wav,1s_english/8195_sliced_1637.wav,3851,3851,188,EN,EN,EN,False,zerospeech
triplet_EN1356,1s_english/23240_sliced_3804.wav,1s_english/7767_sliced_3592.wav,1s_english/5249_sliced_2833.wav,3851,3851,8193,EN,EN,EN,False,zerospeech
triplet_FR2167,1s_french/10887_sliced_2086.wav,1s_french/10561_sliced_1358.wav,1s_french/7013_sliced_1986.wav,F02_N,F02_N,M10_N,FR,FR,FR,True,zerospeech
triplet_FR1696,1s_french/909_sliced_1469.wav,1s_french/5570_sliced_317.wav,1s_french/5688_sliced_1479.wav,M10_N,M10_N,M01_O,FR,FR,FR,False,zerospeech
triplet_FR460,1s_french/15350_sliced_662.wav,1s_french/885_sliced_661.wav,1s_french/11571_sliced_664.wav,F01_O,F01_O,M10_N,FR,FR,FR,False,zerospeech
triplet_FR1814,1s_french/7865_sliced_575.wav,1s_french/10624_sliced_1560.wav,1s_french/10752_sliced_577.wav,F06_N,F06_N,M01_O,FR,FR,FR,False,zerospeech
triplet_91,maureen_fr_169.wav,veronique_eng_104.wav,remi_fr_161.wav,remi,veronique,remi,FR,EN,FR,True,cogsci-2019
triplet_FR2922,1s_french/2320_sliced_697.wav,1s_french/5154_sliced_2143.wav,1s_french/1569_sliced_699.wav,F01_O,F01_O,M01_O,FR,FR,FR,False,zerospeech
triplet_FR1457,1s_french/13291_sliced_746.wav,1s_french/4580_sliced_1261.wav,1s_french/18429_sliced_1343.wav,M10_N,M10_N,F02_N,FR,FR,FR,True,zerospeech
GL_TRIP1930_0,GLO66.wav,GLO149.wav,GLO55.wav,S02M,S02M,S03M,GL,GL,GL,False,WorldVowels
BR_TRIP18877_0,BR549.wav,BR472.wav,BR772.wav,BR-participant3,BR-participant3,BR-participant1,BR,BR,BR,False,WorldVowels
triplet_FR827,1s_french/8595_sliced_793.wav,1s_french/16412_sliced_915.wav,1s_french/16461_sliced_57.wav,M02_O,M02_O,M10_N,FR,FR,FR,True,zerospeech
triplet_FR56,1s_french/19567_sliced_165.wav,1s_french/11748_sliced_147.wav,1s_french/18749_sliced_166.wav,M04_O,M04_O,M10_N,FR,FR,FR,False,zerospeech
TU_TRIP1129_1,TU100.wav,TU124.wav,TU34.wav,TU-participant4,TU-participant4,TU-participant2,TU,TU,TU,True,WorldVowels
triplet_EN1839,1s_english/26086_sliced_2990.wav,1s_english/14402_sliced_3651.wav,1s_english/18465_sliced_3430.wav,5189,5189,2294,EN,EN,EN,True,zerospeech
GR_TRIP34197_1,GR629.wav,GR559.wav,GR674.wav,GR-participant1,GR-participant1,GR-participant5,GR,GR,GR,True,WorldVowels
ES_TRIP2687_0,ES6.wav,ES46.wav,ES207.wav,ES-participant2,ES-participant2,ES-participant3,ES,ES,ES,False,WorldVowels
triplet_EN1034,1s_english/21128_sliced_3754.wav,1s_english/14121_sliced_3176.wav,1s_english/10433_sliced_3818.wav,3851,3851,1571,EN,EN,EN,False,zerospeech
triplet_EN1373,1s_english/16689_sliced_4059.wav,1s_english/23982_sliced_3121.wav,1s_english/10307_sliced_2853.wav,188,188,5189,EN,EN,EN,True,zerospeech
BR_TRIP15874_0,BR522.wav,BR612.wav,BR671.wav,BR-participant3,BR-participant3,BR-participant1,BR,BR,BR,False,WorldVowels
GL_TRIP2400_0,GLO113.wav,GLO34.wav,GLO96.wav,S07F,S07F,S03M,GL,GL,GL,False,WorldVowels
triplet_EN898,1s_english/10114_sliced_540.wav,1s_english/6046_sliced_1093.wav,1s_english/22948_sliced_541.wav,1571,1571,5189,EN,EN,EN,False,zerospeech
triplet_FR1355,1s_french/11833_sliced_917.wav,1s_french/18585_sliced_94.wav,1s_french/17306_sliced_106.wav,F02_O,F02_O,F02_N,FR,FR,FR,True,zerospeech
triplet_EN1120,1s_english/8677_sliced_3871.wav,1s_english/17503_sliced_1638.wav,1s_english/10423_sliced_786.wav,188,188,3347,EN,EN,EN,False,zerospeech
triplet_FR2971,1s_french/20076_sliced_1970.wav,1s_french/8522_sliced_2146.wav,1s_french/18606_sliced_1363.wav,F02_N,F02_N,F10_O,FR,FR,FR,True,zerospeech
triplet_EN640,1s_english/16250_sliced_127.wav,1s_english/20817_sliced_128.wav,1s_english/8344_sliced_129.wav,5802,5802,4926,EN,EN,EN,False,zerospeech
BR_TRIP22802_0,BR1050.wav,BR1008.wav,BR404.wav,BR-participant5,BR-participant5,BR-participant4,BR,BR,BR,False,WorldVowels
TU_TRIP8137_0,TU11.wav,TU29.wav,TU117.wav,TU-participant2,TU-participant2,TU-participant4,TU,TU,TU,False,WorldVowels
triplet_FR2059,1s_french/10223_sliced_1690.wav,1s_french/16004_sliced_1339.wav,1s_french/11499_sliced_1691.wav,F02_N,F02_N,M08_N,FR,FR,FR,True,zerospeech
triplet_FR2912,1s_french/10106_sliced_531.wav,1s_french/19303_sliced_10006.wav,1s_french/9460_sliced_10007.wav,F01_O,F01_O,M07_N,FR,FR,FR,False,zerospeech
GR_TRIP62168_1,GR292.wav,GR326.wav,GR489.wav,GR-participant4,GR-participant4,GR-participant3,GR,GR,GR,True,WorldVowels
triplet_FR861,1s_french/17513_sliced_1484.wav,1s_french/18020_sliced_634.wav,1s_french/10176_sliced_295.wav,M01_O,M01_O,M08_N,FR,FR,FR,True,zerospeech
triplet_FR1479,1s_french/17398_sliced_2497.wav,1s_french/14419_sliced_921.wav,1s_french/8127_sliced_988.wav,M10_O,M10_O,M02_O,FR,FR,FR,True,zerospeech
TU_TRIP2480_0,TU125.wav,TU122.wav,TU49.wav,TU-participant4,TU-participant4,TU-participant2,TU,TU,TU,False,WorldVowels
EN_TRIP39905_0,EN1599.wav,EN1639.wav,EN2671.wav,EN-participant1,EN-participant1,EN-participant8,EN,EN,EN,False,WorldVowels
triplet_EN406,1s_english/25731_sliced_879.wav,1s_english/14319_sliced_869.wav,1s_english/727_sliced_1673.wav,8193,8193,188,EN,EN,EN,False,zerospeech
GR_TRIP8693_0,GR160.wav,GR213.wav,GR720.wav,GR-participant2,GR-participant2,GR-participant5,GR,GR,GR,False,WorldVowels
triplet_FR1695,1s_french/909_sliced_1469.wav,1s_french/5570_sliced_317.wav,1s_french/5688_sliced_1479.wav,M10_N,M10_N,M01_O,FR,FR,FR,True,zerospeech
GR_TRIP51815_1,GR111.wav,GR14.wav,GR238.wav,GR-participant6,GR-participant6,GR-participant2,GR,GR,GR,True,WorldVowels
triplet_FR1570,1s_french/4428_sliced_1413.wav,1s_french/14955_sliced_447.wav,1s_french/13291_sliced_1414.wav,F05_N,F05_N,M10_N,FR,FR,FR,False,zerospeech
